certamen;origen;fecha;anio;cerveceria;cerveza_ganadora;estilo;estilo_corregido;estilo_limpio;estilo_cliente;premio;medalla_base;tipo_premio;subcategoria;ciudad;pais
Aro Rojo - Mexico;;2025-07;2025;Cervecería de Colima;Cayaco 95;American Light Lager;American Light Lager;Light Lager;Lager;Bronce Medal;Bronce;Beer;;El Trapiche;México
Aro Rojo - Mexico;;2025-07;2025;Cerveceria Punta Cana;Canita Light Lager;American Light Lager;American Light Lager;Light Lager;Lager;Silver Medal;Plata;Beer;;Punta Cana;República Dominicana
Aro Rojo - Mexico;;2025-07;2025;CABRONA;APA Carnaval;American Pale Ale;American Pale Ale;Pale Ale;Pale Ale;Bronce Medal;Bronce;Beer;;Cipolletti;Argentina
Aro Rojo - Mexico;;2025-07;2025;El Gardenia;EL WERO DEL WIRO;American Pale Ale;American Pale Ale;Pale Ale;Pale Ale;Gold Medal;Oro;Beer;;CHIHUAHUA;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Fausto;Good Dags;American Stout;American Stout;Stout;Stout;Gold Medal;Oro;Beer;;Monterrey;México
Aro Rojo - Mexico;;2025-07;2025;El Gardenia;MOTHER FOCA;American Stout;American Stout;Stout;Stout;Bronce Medal;Bronce;Beer;;CHIHUAHUA;México
Aro Rojo - Mexico;;2025-07;2025;CABRONA;MONKEY IPA;American Strong Pale Ale;American Strong Pale Ale;Strong Pale Ale;Strong Pale Ale;Silver Medal;Plata;Beer;;Cipolletti;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería Fausto;Yellow Snow;American Wheat Beer;American Wheat Beer;American Wheat;Wheat;Bronce Medal;Bronce;Beer;;Monterrey;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Fausto;Rauchbier;Bamberg  Marzen Rauchbier;Bamberg  Marzen Rauchbier;Bamberg  Marzen Rauchbier; Marzen Rauchbier;Silver Medal;Plata;Beer;;Monterrey;México
Aro Rojo - Mexico;;2025-07;2025;Nuske;Rauchbier;Bamberg  Marzen Rauchbier;Bamberg  Marzen Rauchbier;Bamberg  Marzen Rauchbier; Marzen Rauchbier;Bronce Medal;Bronce;Beer;;Meliquina;Argentina
Aro Rojo - Mexico;;2025-07;2025;Nuske;Weizen Rauchbier;Bamberg Weiss Rauchbier;Bamberg Weiss Rauchbier;Bamberg Weiss Rauchbier; Marzen Rauchbier;Gold Medal;Oro;Beer;;Meliquina;Argentina
Aro Rojo - Mexico;;2025-07;2025;I Lupi Cervejaria;Castelmonte;Belgian Dubbel;Belgian Dubbel;Belgian Dubbel;Belgian Ale;Silver Medal;Plata;Beer;;Ibiracu;Brasil
Aro Rojo - Mexico;;2025-07;2025;Cerveza Walnuss;Bon Voyage;Belgian Flanders, Oud Bruin, Oud Red Ale;Belgian Flanders, Oud Bruin, Oud Red Ale;Flemish Sour Ales;Belgian Sour Ale;Silver Medal;Plata;Beer;;San Miguel de Tucumán;Argentina
Aro Rojo - Mexico;;2025-07;2025;Bíchofeo Brewing;Barbera;Belgian Fruit Lambic;Belgian Fruit Lambic;Belgian Fruit Lambic;Belgian Lambic;Gold Medal;Oro;Beer;;Resistencia;Argentina
Aro Rojo - Mexico;;2025-07;2025;Campera;Campera Quadrupel;Belgian Quadrupel;Belgian Quadrupel;Belgian Quadrupel;Belgian Ale;Bronce Medal;Bronce;Beer;;Villa Alegre;Chile
Aro Rojo - Mexico;;2025-07;2025;Ruta 40;Baja Normandia;Belgian Quadrupel;Belgian Quadrupel;Belgian Quadrupel;Belgian Ale;Gold Medal;Oro;Beer;;CABA;Argentina
Aro Rojo - Mexico;;2025-07;2025;Fábrica de Cervezas Tarabaña;Ferus Diabolus;Belgian Strong Blonde Ale;Belgian Strong Blonde Ale;Belgian Strong Blonde Ale;Belgian Ale;Gold Medal;Oro;Beer;;Lerma;México
Aro Rojo - Mexico;;2025-07;2025;La20 Cervecería;La Metiche;Belgian Witbier;Belgian Witbier;Belgian Witbier;Belgian Ale;Bronce Medal;Bronce;Beer;;San Pedro Sula;Honduras
Aro Rojo - Mexico;;2025-07;2025;mesta nostra;Witbier;Belgian Witbier;Belgian Witbier;Belgian Witbier;Belgian Ale;Silver Medal;Plata;Beer;;buenos aires;Argentina
Aro Rojo - Mexico;;2025-07;2025;Bíchofeo Brewing;Merlina;Berliner Weisse;Berliner Weisse;Berliner Weisse;Berliner Weisse;Gold Medal;Oro;Beer;;Resistencia;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cerveza Cardera;Suegra;Berliner Weisse;Berliner Weisse;Berliner Weisse;Berliner Weisse;Bronce Medal;Bronce;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;Tamango Brebajes;Ente Caníbales;Bohemian Pilsener;Bohemian Pilsner;Bohemian Pilsener;Bohemian Pilsener;Silver Medal;Plata;Beer;;Santiago;Chile
Aro Rojo - Mexico;;2025-07;2025;Casa Bruja;R.S.V.P;Brett Beer;Brett Beer;Brett;Brett;Silver Medal;Plata;Beer;;Panama;Panamá
Aro Rojo - Mexico;;2025-07;2025;SIMON DICE CERVEZA ARTESANAL;Fortissimo;British Barley Wine Ale;British Barley Wine Ale;British Barley Wine Ale;British Barley Wine Ale;Gold Medal;Oro;Beer;;Asuncion;Paraguay
Aro Rojo - Mexico;;2025-07;2025;Ferisa;Imperial Stout - Ferisa;British Imperial Stout;British Imperial Stout;British Imperial Stout;Stout;Silver Medal;Plata;Beer;;Santiago;Chile
Aro Rojo - Mexico;;2025-07;2025;KRAPP;Russian Imperial Stout;British Imperial Stout;British Imperial Stout;British Imperial Stout;Stout;Bronce Medal;Bronce;Beer;;Valle Maria;Argentina
Aro Rojo - Mexico;;2025-07;2025;Buller;Cheers Mate;British Ipa;British Ipa;British Ipa;British Ipa;Silver Medal;Plata;Beer;;Buenos Aires;Argentina
Aro Rojo - Mexico;;2025-07;2025;CABRONA;Lady IPA;British Ipa;British Ipa;British Ipa;British Ipa;Bronce Medal;Bronce;Beer;;Cipolletti;Argentina
Aro Rojo - Mexico;;2025-07;2025;Bikihr;Brown Porter;Brown Porter;Brown Porter;Brown Porter;Porter;Gold Medal;Oro;Beer;;Villa Ramallo;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería Nómada;Porterazo;Brown Porter;Brown Porter;Brown Porter;Porter;Bronce Medal;Bronce;Beer;;Iztapalapa;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Fausto;Steam Beer;California Common Beer;California Common Beer;California Common;California Common;Silver Medal;Plata;Beer;;Monterrey;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Icono;Rorrito;Catharina Sour;Catharina Sour;Catharina Sour;Sour Ale;Bronce Medal;Bronce;Beer;;Mexicali;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Oveja Mística;Tercer contacto;Catharina Sour;Catharina Sour;Catharina Sour;Sour Ale;Silver Medal;Plata;Beer;;Gustavo A. Madero;México
Aro Rojo - Mexico;;2025-07;2025;Distrito Brewing CO;Bergen Catharina Sour Mburucuya Mora y Frutilla;Catharina Sour;Catharina Sour;Catharina Sour;Sour Ale;Gold Medal;Oro;Beer;;Ciudad del Este;Paraguay
Aro Rojo - Mexico;;2025-07;2025;Cerveceria Jester;Saison;Classic French/Belgian Saison;Classic French/Belgian Saison;Classic/Belgian Saison;Belgian Ale;Silver Medal;Plata;Beer;;Santiago;Chile
Aro Rojo - Mexico;;2025-07;2025;Cerveza Walnuss;Kaffa;Coffee Beer;Coffee Beer;Coffee;Coffee;Silver Medal;Plata;Beer;;San Miguel de Tucumán;Argentina
Aro Rojo - Mexico;;2025-07;2025;Brewtal Brewing Bros;Coffee Bastard;Coffee Beer +;Coffee Beer +;Coffee +;Coffee +;Silver Medal;Plata;Beer;;San Luis Potosí;México
Aro Rojo - Mexico;;2025-07;2025;Darwin Cerveza Artesanal;Desayuno de Campeones;Coffee Beer +;Coffee Beer +;Coffee +;Coffee +;Bronce Medal;Bronce;Beer;;Belgrano;Argentina
Aro Rojo - Mexico;;2025-07;2025;Sudamericana de bebidas SRL;BRÜL;Contemporary American Lager;Contemporary American Lager;Contemporary Lager;Lager;Gold Medal;Oro;Beer;;San Rafael;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cerveza Bruer;Smash Q´Una Chela;Contemporary American Pilsener;Contemporary American Pilsner;American Pilsner;Lager;Bronce Medal;Bronce;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;Django;Maracumbia Sour;Contemporary Gose;Contemporary Gose;Contemporary Gose;Contemporary Gose;Silver Medal;Plata;Beer;;Quito;Ecuador
Aro Rojo - Mexico;;2025-07;2025;CERVECERÍA NUEVO IMPERIO;Nuevo Imperio Pastry Stout;Dessert Stout/Pastry Stout;Dessert Stout/Pastry Stout;Dessert Stout/Pastry Stout;Stout;Gold Medal;Oro;Beer;;TULTITLÁN;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Punto Medio;Punto Medio Lager;Dortmunder/European Export;Dortmunder/European Export;Dortmunder/European Export;Dortmunder/European Export;Gold Medal;Oro;Beer;;El Marqués;México
Aro Rojo - Mexico;;2025-07;2025;CERVECERÍA TROPERA;Crazy Juan;English Brown Ale;English Brown Ale;English Brown Ale;Brown Ale;Silver Medal;Plata;Beer;;Puerto Varas;Chile
Aro Rojo - Mexico;;2025-07;2025;Bíchofeo Brewing;IRIS;Experimental Beer;Experimental Beer;Experimental;Experimental;Silver Medal;Plata;Beer;;Resistencia;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería ColaBlanca;Gozadera espiritual;Experimental Beer;Experimental Beer;Experimental;Experimental;Silver Medal;Plata;Beer;;Zapopan;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Huerfana;HUERFANA MAGUEY;Experimental Beer;Experimental Beer;Experimental;Experimental;Bronce Medal;Bronce;Beer;;Saltillo;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Krox;Krox King Slayer;Experimental Beer;Experimental Beer;Experimental;Experimental;Gold Medal;Oro;Beer;;CDMX;México
Aro Rojo - Mexico;;2025-07;2025;EL FRUTO;Sour grape pinot noir;Experimental Beer;Experimental Beer;Experimental;Experimental;Bronce Medal;Bronce;Beer;;EXALTACION DE LA CRUZ;Argentina
Aro Rojo - Mexico;;2025-07;2025;CERVECERÍA NUEVO IMPERIO;Arsénico 0.5;Experimental Ipa;Experimental Ipa;Experimental Ipa;Experimental Ipa;Bronce Medal;Bronce;Beer;;TULTITLÁN;México
Aro Rojo - Mexico;;2025-07;2025;Buller;BRONX;Export Stout;Export Stout;Export Stout;Stout;Silver Medal;Plata;Beer;;Buenos Aires;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería Crápula;Reincidente;Export Stout;Export Stout;Export Stout;Stout;Bronce Medal;Bronce;Beer;;Concepcion;Chile
Aro Rojo - Mexico;;2025-07;2025;Cerveza Fauna;Nox Arcana;Export Stout;Export Stout;Export Stout;Stout;Gold Medal;Oro;Beer;;Mexicali;México
Aro Rojo - Mexico;;2025-07;2025;372 Brewing Co;The big book of british smiles;Extra Special Bitter;Extra Special Bitter;Extra Special Bitter;ESB;Gold Medal;Oro;Beer;;Rosario;Argentina
Aro Rojo - Mexico;;2025-07;2025;Intrinsical;Alt + F4;German Altbier;German Altbier;Altbier;Altbier;Silver Medal;Plata;Beer;;santiago;Chile
Aro Rojo - Mexico;;2025-07;2025;Cerveza Libertadores;Saint Paulus;German Doppelbock;German Doppelbock;Doppelbock;Doppelbock;Gold Medal;Oro;Beer;;Jiquilpan;México
Aro Rojo - Mexico;;2025-07;2025;Restinhops Brewing Co;Ice Master;German Eisbock;German Eisbock;Eisbock;Eisbock;Bronce Medal;Bronce;Beer;;Ciudad De México;México
Aro Rojo - Mexico;;2025-07;2025;Güira Brewing co.;El Diablo;German HellerBock/Maibock;German HellerBock/Maibock;HellerBock/Maibock;HellerBock/Maibock;Silver Medal;Plata;Beer;;Avellaneda;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería Luthier;Desierto Summer Kölsch;German Koelsch;German Koelsch;Koelsch;Kolsch;Gold Medal;Oro;Beer;;Los Angeles;Chile
Aro Rojo - Mexico;;2025-07;2025;CHELA DE PLAYA;PLAYA KÖLXCH;German Koelsch;German Koelsch;Koelsch;Kolsch;Bronce Medal;Bronce;Beer;;PLAYA DEL CARMEN;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Jardín;Marzencita;German  Marzen;German  Marzen; Marzen;Marzen;Gold Medal;Oro;Beer;;Ciudad de México;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Fausto;German Pils;German Pils;German Pils;Pils;Pils;Silver Medal;Plata;Beer;;Monterrey;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería del Penco;PENCO;Golden/Blonde Ale;Golden/Blonde Ale;Golden/Blonde Ale;Golden/Blonde Ale;Silver Medal;Plata;Beer;;San Pedro Garza García;México
Aro Rojo - Mexico;;2025-07;2025;CERVECERÍA TROPERA;GUADALINA;Golden/Blonde Ale;Golden/Blonde Ale;Golden/Blonde Ale;Golden/Blonde Ale;Bronce Medal;Bronce;Beer;;Puerto Varas;Chile
Aro Rojo - Mexico;;2025-07;2025;Temple Brewery;Indie Golden;Golden/Blonde Ale;Golden/Blonde Ale;Golden/Blonde Ale;Golden/Blonde Ale;Gold Medal;Oro;Beer;;Buenos Aires;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervejaria Königs Bier;Königs Catharina Sour Maçã e Canela;Herb/Spice Beer;Herb And Spice Beer;Herb/Spice;Herb/Spice;Gold Medal;Oro;Beer;;Jaraguá do Sul;Brasil
Aro Rojo - Mexico;;2025-07;2025;Cervejaria Königs Bier;Königs Catharina Sour Maçã e Canela;Herb/Spice Beer;Herb And Spice Beer;Herb/Spice;Herb/Spice;Gold Medal;Oro;Beer;;Jaraguá do Sul;Brasil
Aro Rojo - Mexico;;2025-07;2025;Cervejaria Königs Bier;Königs Catharina Sour Maçã e Canela;Herb/Spice Beer;Herb And Spice Beer;Herb/Spice;Herb/Spice;Best of Show;Oro;Beer;;Jaraguá do Sul;Brasil
Aro Rojo - Mexico;;2025-07;2025;Kaminari Brewing;Gozala Mojito;Herb/Spice Beer;Herb And Spice Beer;Herb/Spice;Herb/Spice;Bronce Medal;Bronce;Beer;;TIJUANA;México
Aro Rojo - Mexico;;2025-07;2025;MAMUT CERVECERIA;Mastodontito;Herb/Spice Beer;Herb/Spice Beer;Herb/Spice Beer;Herb/Spice;Bronce Medal;Bronce;Beer;;tijuana;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Bruer;Red Zone;Imperial Red Ale;Imperial Red Ale;Imperial Red Ale;Red Ale;Gold Medal;Oro;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Claroscuro;Música ligera;International Pilsener;International Pils;International Pils;Lager;Gold Medal;Oro;Beer;;Ciudad de México;México
Aro Rojo - Mexico;;2025-07;2025;Suburbier;Sueño Americano;Ipa Argenta;Ipa Argenta;Ipa Argenta;Ipa;Gold Medal;Oro;Beer;;Valentín Alsina;Argentina
Aro Rojo - Mexico;;2025-07;2025;12brujas Argentina;CORAZON DE BRUJAS;Irish Red Ale;Irish Red Ale;Irish Red Ale;Irish Red Ale;Silver Medal;Plata;Beer;;Necochea;Argentina
Aro Rojo - Mexico;;2025-07;2025;Darwin Cerveza Artesanal;Origen;Double Hazy Ipa;Double Hazy Ipa;Double Hazy Ipa;Ipa;Silver Medal;Plata;Beer;;Belgrano;Argentina
Aro Rojo - Mexico;;2025-07;2025;FALLING PIANO BREWING;HOP DELIVERY;Double Hazy Ipa;Double Hazy Ipa;Double Hazy Ipa;Ipa;Bronce Medal;Bronce;Beer;;CUAUHTEMOC;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Fauna;Hazy Lycan;Hazy Ipa;Hazy Ipa;Hazy Ipa;Ipa;Silver Medal;Plata;Beer;;Mexicali;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Picudo;Habemus Lupulum;Hazy Ipa;Hazy Ipa;Hazy Ipa;Ipa;Bronce Medal;Bronce;Beer;;San Julian;México
Aro Rojo - Mexico;;2025-07;2025;Tamango Brebajes;Corta Corriente;Hazy Ipa;Hazy Ipa;Hazy Ipa;Ipa;Gold Medal;Oro;Beer;;Santiago;Chile
Aro Rojo - Mexico;;2025-07;2025;buko Brewing CO.;Incognita Nectaron;Hazy Ipa;Hazy Ipa;Hazy Ipa;Ipa;Gold Medal;Oro;Beer;;BUENOS AIRES;Argentina
Aro Rojo - Mexico;;2025-07;2025;EL FRUTO;Encuentro Cercano;Hazy Ipa;Hazy Ipa;Hazy Ipa;Ipa;Bronce Medal;Bronce;Beer;;EXALTACION DE LA CRUZ;Argentina
Aro Rojo - Mexico;;2025-07;2025;FALLING PIANO BREWING;2/3 caidas;Hazy Ipa;Hazy Ipa;Hazy Ipa;Ipa;Silver Medal;Plata;Beer;;CUAUHTEMOC;México
Aro Rojo - Mexico;;2025-07;2025;Brewjula Errante;Tuna Algota;Melomel;Melomel;Melomel;Melomel;Silver Medal;Plata;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;Oriente Compañía Cervecera;OPS;Melomel;Melomel;Melomel;Melomel;Gold Medal;Oro;Beer;;México;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Bruer;Tlatoani;Mexican Amber Lager;Mexican Amber Lager;Mexican Amber Lager;Lager;Bronce Medal;Bronce;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;Buqui Bichi Brewing;Ultra Bichi;Mexican Light Lager;Mexican Light Lager;Mexican Light Lager;Lager;Gold Medal;Oro;Beer;;Hermosillo;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Icono;Icono Light Lager;Mexican Light Lager;Mexican Light Lager;Mexican Light Lager;Lager;Bronce Medal;Bronce;Beer;;Mexicali;México
Aro Rojo - Mexico;;2025-07;2025;MetaBrews Co.;45 Grados ULTRA;Mexican Light Lager;Mexican Light Lager;Mexican Light Lager;Lager;Silver Medal;Plata;Beer;;Monterrey;México
Aro Rojo - Mexico;;2025-07;2025;Poperinge brewery;es lo que es;Mixed-Culture Brett Beer;Mixed-Culture Brett Beer;Mixed-Culture Brett;Mixed-Culture Brett;Best of Show;Bronce;Beer;;LUJAN DE CUYO - CHACRAS DE CORIA;Argentina
Aro Rojo - Mexico;;2025-07;2025;Poperinge brewery;es lo que es;Mixed-Culture Brett Beer;Mixed-Culture Brett Beer;Mixed-Culture Brett;Mixed-Culture Brett;Gold Medal;Oro;Beer;;LUJAN DE CUYO - CHACRAS DE CORIA;Argentina
Aro Rojo - Mexico;;2025-07;2025;Poperinge brewery;es lo que es;Mixed-Culture Brett Beer;Mixed-Culture Brett Beer;Mixed-Culture Brett;Mixed-Culture Brett;Gold Medal;Oro;Beer;;LUJAN DE CUYO - CHACRAS DE CORIA;Argentina
Aro Rojo - Mexico;;2025-07;2025;Pisse des Gottes;George Brett 4;Mixed-Culture Brett Beer ++;Mixed-Culture Brett Beer ++;Mixed-Culture Brett ++;Mixed-Culture Brett ++;Bronce Medal;Bronce;Beer;;Caracas;Venezuela
Aro Rojo - Mexico;;2025-07;2025;CABRONA;MUNICH HELLES;Munich Helles;Munich Helles;Munich Helles;Munich Helles;Bronce Medal;Bronce;Beer;;Cipolletti;Argentina
Aro Rojo - Mexico;;2025-07;2025;Nuske;Helles;Munich Helles;Munich Helles;Munich Helles;Munich Helles;Silver Medal;Plata;Beer;;Meliquina;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cerveza Cardera;Capitan IPA;New Zealand Ipa;New Zealand Ipa;New Zealand Ipa;Ipa;Silver Medal;Plata;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;CABRONA;Lucy Pils;New Zealand Pilsner;New Zealand Pilsner;New Zealand Pilsner;New Zealand Pilsner;Silver Medal;Plata;Beer;;Cipolletti;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cervecería de Colima;Colima Cero Session IPA;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Gold Medal;Oro;Beer;;El Trapiche;México
Aro Rojo - Mexico;;2025-07;2025;ETAPP;ETAPP CATHARINA SOUR;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Bronce Medal;Bronce;Beer;;SÃO JOSÉ DOS CAMPOS;Brasil
Aro Rojo - Mexico;;2025-07;2025;SANS;Low Rider;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Non-Alcohol Malt Beverage;Silver Medal;Plata;Beer;;MEXICO;México
Aro Rojo - Mexico;;2025-07;2025;Soberanos Brewers;La Patrona;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Silver Medal;Plata;Beer;;San Jose;Costa Rica
Aro Rojo - Mexico;;2025-07;2025;Suburbier;Joe Black;Oatmeal Stout;Oatmeal Stout;Oatmeal Stout;Stout;Gold Medal;Oro;Beer;;Valentín Alsina;Argentina
Aro Rojo - Mexico;;2025-07;2025;MAMUT CERVECERIA;SUN RYE;Rye Beer;Rye Beer;Rye;Rye;Silver Medal;Plata;Beer;;tijuana;México
Aro Rojo - Mexico;;2025-07;2025;Cervecería Estrella;Bendita Cerveza;Scotch Ale/Wee Heavy;Scotch Ale/Wee Heavy;Scotch Ale/Wee Heavy;Scotch Ale;Bronce Medal;Bronce;Beer;;Santiago;República Dominicana
Aro Rojo - Mexico;;2025-07;2025;Barbot Brewpub;BARBOT EZPELETA SCOTTISH ALE;Scottish Export Ale;Scottish Export Ale;Scottish Export Ale;Scottish Ale;Gold Medal;Oro;Beer;;Colonia del Sacramento;Uruguay
Aro Rojo - Mexico;;2025-07;2025;Tabula Rasa;Scottish;Scottish Export Ale;Scottish Export Ale;Scottish Export Ale;Scottish Ale;Bronce Medal;Bronce;Beer;;Zarate;Argentina
Aro Rojo - Mexico;;2025-07;2025;Cerveceria Copantl;BALCHÉ;Semi-Sweet Mead;Semi-Sweet Mead;Semi-Sweet Mead;Semi-Sweet Mead;Bronce Medal;Bronce;Beer;;San Pedro Sula;Honduras
Aro Rojo - Mexico;;2025-07;2025;Cervecería Punto Medio;Punto Medio Session IPA;Session Ipa;Session Ipa;Session Ipa;Session Ipa;Bronce Medal;Bronce;Beer;;El Marqués;México
Aro Rojo - Mexico;;2025-07;2025;Cerveza Cardera;MoSiCe;Session Ipa;Session Ipa;Session Ipa;Session Ipa;Gold Medal;Oro;Beer;;Ensenada;México
Aro Rojo - Mexico;;2025-07;2025;El Gardenia;GEMELO MALVADO;Session Ipa;Session Ipa;Session Ipa;Session Ipa;Silver Medal;Plata;Beer;;CHIHUAHUA;México
Aro Rojo - Mexico;;2025-07;2025;Intrinsical;El jefe bison;South German Hefeweizen;South German Hefeweizen;South Hefeweizen;South Hefeweizen;Silver Medal;Plata;Beer;;santiago;Chile
Aro Rojo - Mexico;;2025-07;2025;Lúpulos Craft Beer;Hefeweizen;South German Hefeweizen;South German Hefeweizen;South Hefeweizen;South Hefeweizen;Bronce Medal;Bronce;Beer;;San Pedro Sula;Honduras
Aro Rojo - Mexico;;2025-07;2025;Nuske;Hefeweizen;South German Hefeweizen;South German Hefeweizen;South Hefeweizen;South Hefeweizen;Gold Medal;Oro;Beer;;Meliquina;Argentina
Aro Rojo - Mexico;;2025-07;2025;Bíchofeo Brewing;Merlina B;Specialty Saison;Specialty Saison;Specialty Saison;Saison;Bronce Medal;Bronce;Beer;;Resistencia;Argentina
Aro Rojo - Mexico;;2025-07;2025;Casa Bruja;Lilliput;Specialty Saison;Specialty Saison;Specialty Saison;Saison;Gold Medal;Oro;Beer;;Panama;Panamá
